id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Block Party,Kraze,hip-hop,happy,0.85,96,0.88,0.91,0.08
12,Slow Burn,Velvet Tone,r&b,relaxed,0.48,72,0.74,0.67,0.45
13,Porch Swing,The Willows,country,relaxed,0.39,88,0.78,0.52,0.83
14,Bass Drop,Circuit Nine,electronic,intense,0.96,140,0.55,0.94,0.02
15,Rainy Season,Coastal Drift,folk,chill,0.31,76,0.69,0.44,0.91
16,Shatter,Iron Veil,metal,intense,0.97,168,0.22,0.58,0.04
17,Golden Hour,Soleil,r&b,happy,0.61,104,0.86,0.75,0.31
18,Neon Jungle,Prism Wave,electronic,moody,0.80,128,0.43,0.87,0.06
